	204	15	34	42
	267	15	33	43
	328	15	34	42

	1	2	51	57
	64	4	50	55
	135	13	41	45
	383	14	41	44
	436	4	50	55
	497	2	51	57
	562	7	51	43
	623	22	52	20
	687	18	51	23
	747	22	52	20
	

	997	18	51	23
	1059	18	51	23
	1121	14	51	33
	1181	8	53	45
	1243	4	57	49
	1307	1	56	57
	1367	0	58	58
	1427	0	60	59


	1250	93	34	42
	1188	93	33	43
	1126	93	34	42


	1436	80	51	57
	1374	82	50	55
	1312	91	41	45
	1064	92	41	44
	1002	82	50	55
	940	80	51	57
	875	85	51	43
	813	100	52	20
	750	96	51	23
	689	100	52	20
	

	440	96	51	23
	378	96	51	23
	316	92	51	33
	254	86	53	45
	188	82	57	49
	125	79	56	57
	63	81	58	58
	1	78	60	59
